emoji,description
📬,"open mailbox with raised flag. open mailbox with raised flag. mail, open, postbox, mailbox. Communication is the activity of conveying information through the exchange of ideas, feelings, intentions, attitudes, expectations, perceptions or commands, as by speech, non-verbal gestures, writings, behavior and possibly by other means such as electromagnetic, chemical or physical phenomena and smell."
📫,"closed mailbox with raised flag. closed mailbox with raised flag. mail, closed, postbox, mailbox. Communication is the activity of conveying information through the exchange of ideas, feelings, intentions, attitudes, expectations, perceptions or commands, as by speech, non-verbal gestures, writings, behavior and possibly by other means such as electromagnetic, chemical or physical phenomena and smell."
📪,"closed mailbox with lowered flag. closed mailbox with lowered flag. lowered, mail, closed, postbox, mailbox. Communication is the activity of conveying information through the exchange of ideas, feelings, intentions, attitudes, expectations, perceptions or commands, as by speech, non-verbal gestures, writings, behavior and possibly by other means such as electromagnetic, chemical or physical phenomena and smell."
📩,"envelope with arrow. envelope with arrow. letter, outgoing, mail, e-mail, sent, email, envelope, arrow, down. Communication is the activity of conveying information through the exchange of ideas, feelings, intentions, attitudes, expectations, perceptions or commands, as by speech, non-verbal gestures, writings, behavior and possibly by other means such as electromagnetic, chemical or physical phenomena and smell."
📨,"incoming envelope. incoming envelope. incoming, mail, email, letter, receive, envelope, e-mail. A flat (usually rectangular) container for a letter, thin package, etc."
📧,"e-mail. e-mail. mail, email, letter. Communication is the activity of conveying information through the exchange of ideas, feelings, intentions, attitudes, expectations, perceptions or commands, as by speech, non-verbal gestures, writings, behavior and possibly by other means such as electromagnetic, chemical or physical phenomena and smell."
📦,"package. package. parcel, box. The transportation of a group of people to a new settlement."
📥,"inbox tray. inbox tray. mail, tray, letter, box, receive, inbox. Electronic mail, most commonly referred to as email or e-mail since, is a method of exchanging digital messages from an author to one or more recipients."
📤,"outbox tray. outbox tray. mail, sent, tray, letter, box, outbox. Electronic mail, most commonly referred to as email or e-mail since, is a method of exchanging digital messages from an author to one or more recipients."
📣,megaphone. megaphone. cheering. A musician that plays the trumpet.
📢,"loudspeaker. loudspeaker. loud, public address. An electromechanical device which produces sound"
🙆🏾‍♀️,"woman gesturing OK: medium-dark skin tone. woman gesturing OK: medium-dark skin tone. hand, ok, gesture, medium-dark skin tone, woman. A woman is a female human."
👩🏻‍💼,"woman office worker: light skin tone. woman office worker: light skin tone. light skin tone, manager, business, office, woman, architect, white-collar. A woman is a female human."
📡,"satellite antenna. satellite antenna. satellite, dish, antenna. A receiver on a communications satellite."
👩🏻‍💻,"woman technologist: light skin tone. woman technologist: light skin tone. light skin tone, coder, developer, software, woman, technologist, inventor. A woman is a female human."
📠,"fax machine. fax machine. fax. Communication is the activity of conveying information through the exchange of ideas, feelings, intentions, attitudes, expectations, perceptions or commands, as by speech, non-verbal gestures, writings, behavior and possibly by other means such as electromagnetic, chemical or physical phenomena and smell."
6️⃣,keycap: 6. keycap: 6. keycap. A concept of quantity involving zero and units
💁‍♂️,"man tipping hand. man tipping hand. sassy, tipping hand, man. Sexual maturity is the age or stage when an organism can reproduce."
🇮🇹,Italy. Italy. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
📟,pager. pager. pager. A device for receiving alpha-numeric messages
🇮🇸,Iceland. Iceland. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
📞,"telephone receiver. telephone receiver. phone, telephone, receiver. Earphone that converts electrical signals into sounds"
🇮🇷,Iran. Iran. flag. See Ali Khamenei
📝,memo. memo. pencil. Writing utensil that uses graphite (commonly referred to as lead). Regular pencils usually have a graphite shaft surrounded by wood. Also available in a mechanical version where the graphite length can be adjusted and sharpening is not needed.
🇮🇶,Iraq. Iraq. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
📜,scroll. scroll. paper. Writing that provides information (especially information of an official nature)
📛,"name badge. name badge. badge, name. A bright yellow, red or bluish light which emerges during combustion processes."
🇮🇴,British Indian Ocean Territory. British Indian Ocean Territory. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
📚,books. books. book. A book prepared for use in schools or colleges
🇮🇳,India. India. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇮🇲,Isle of Man. Isle of Man. flag. An island located in the Irish Sea between Great Britain and Ireland.
🇮🇱,Israel. Israel. flag. The flag of the state of Israel
📙,"orange book. orange book. orange, book. A book prepared for use in schools or colleges"
📘,"blue book. blue book. blue, book. A written work or composition that has been published (printed on pages bound together)"
📗,"green book. green book. book, green. Something that is read"
📖,"open book. open book. open, book. Something that is read"
📕,"closed book. closed book. closed, book. A book prepared for use in schools or colleges"
📔,"notebook with decorative cover. notebook with decorative cover. book, decorated, notebook, cover. A brief written record"
📓,notebook. notebook. notebook. Many paper size standards conventions have existed at different times and in different countries.
📒,"ledger. ledger. notebook. The part of an accounting system that is used for classifying the monetary value of economic transactions by using a chart of accounts, a fiscal calendar, and one or more currencies."
📑,"bookmark tabs. bookmark tabs. marker, tabs, bookmark, mark. A brief written record"
📐,"triangular ruler. triangular ruler. triangle, set, ruler. Many paper size standards conventions have existed at different times and in different countries."
🇮🇪,Ireland. Ireland. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🏄🏽‍♀️,"woman surfing: medium skin tone. woman surfing: medium skin tone. woman, surfing, medium skin tone. A woman is a female human."
🇮🇩,Indonesia. Indonesia. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
📏,"straight ruler. straight ruler. straight edge, ruler. The long dimension of any object"
